カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
トラファルガー・ロー,OP05-069_p2,OP05-069,CHARACTER,SR,3,斬,5000,0,紫,2,ハートの海賊団,【アタック時】相手の場のドン!!の枚数が自分の場のドン!!の枚数より多い場合、自分のデッキの上から5枚を見て、特徴《ハートの海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,新時代の主役【OP-05】
ユースタス・キッド,OP05-074_p1,OP05-074,CHARACTER,SR,5,特,6000,1000,紫,2,キッド海賊団,【ブロッカー】【自分のターン中】【ターン1回】自分の場のドン!!がドン!!デッキに戻された時、ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,新時代の主役【OP-05】
ユースタス・キッド,OP05-074_p2,OP05-074,CHARACTER,SR,5,特,6000,1000,紫,2,キッド海賊団,【ブロッカー】【自分のターン中】【ターン1回】自分の場のドン!!がドン!!デッキに戻された時、ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,新時代の主役【OP-05】
マンシェリー,OP05-088_p1,OP05-088,CHARACTER,R,1,特,-,1000,黒,2,トンタッタ族/ドレスローザ,【起動メイン】➀(コストエリアのドン!!を指定の数レストにできる)，このキャラをレストにし、自分のトラッシュのカード2枚を好きな順番でデッキの下に置くことができる：自分のトラッシュのコスト3から5の黒のキャラカード1枚までを、手札に加える。,,新時代の主役【OP-05】
レベッカ,OP05-091_p1,OP05-091,CHARACTER,SR,4,知,-,1000,黒,2,ドレスローザ,【ブロッカー】【登場時】自分のトラッシュの「レベッカ」以外のコスト3から7の黒のキャラカード1枚までを、手札に加える。その後、自分の手札からコスト3以下の黒のキャラカード1枚までを、レストで登場させる。,,新時代の主役【OP-05】
ロブ・ルッチ,OP05-093_p1,OP05-093,CHARACTER,SR,4,打,6000,0,黒,2,CP0,【登場時】自分のトラッシュのカード3枚を好きな順番でデッキの下に置くことができる：相手の、コスト2以下のキャラ1枚までとコスト1以下のキャラ1枚までを、KOする。,,新時代の主役【OP-05】
エネル,OP05-098_p1,OP05-098,LEADER,L,-,特,5000,0,黄,2,空島,【相手のターン中】【ターン1回】自分のライフが0枚になった時、自分のデッキの上から1枚を、ライフの上に加える。その後、自分の手札1枚を捨てる。,,新時代の主役【OP-05】
エネル,OP05-100_p1,OP05-100,CHARACTER,SR,7,特,7000,0,黄,2,空島,【速攻】【ターン1回】このキャラが場を離れる場合、代わりに自分のライフの上から1枚をトラッシュに置いてもよい。キャラの「モンキー・D・ルフィ」がいる場合、この効果は無効になる。,,新時代の主役【OP-05】
ゲダツ,OP05-102_p1,OP05-102,CHARACTER,R,5,打,6000,1000,黄,2,空島/神官,【登場時】相手のライフの枚数以下のコストを持つ相手のキャラ1枚までを、KOする。,,新時代の主役【OP-05】
カイドウ,OP05-118_p1,OP05-118,CHARACTER,SEC,10,特,12000,0,青,2,四皇/百獣海賊団,【登場時】相手のライフが3枚以下の場合、カード4枚を引く。,,新時代の主役【OP-05】
モンキー・D・ルフィ,OP05-119_p1,OP05-119,CHARACTER,SEC,10,打,12000,0,紫,2,四皇/麦わらの一味,【登場時】ドン!!-10：このキャラ以外の自分のキャラすべてを好きな順番でデッキの下に置く。その後、このターンの後に自分のターンを追加で得る。【起動メイン】【ターン1回】➀：ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,新時代の主役【OP-05】
モンキー・D・ルフィ,OP05-119_p2,OP05-119,CHARACTER,SEC,10,打,12000,0,紫,2,四皇/麦わらの一味,【登場時】ドン!!-10：このキャラ以外の自分のキャラすべてを好きな順番でデッキの下に置く。その後、このターンの後に自分のターンを追加で得る。【起動メイン】【ターン1回】➀：ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,新時代の主役【OP-05】
モンキー・D・ルフィ,ST01-012_p3,ST01-012,CHARACTER,SR,5,打,6000,0,赤,1,超新星/麦わらの一味,【速攻】(このカードは登場したターンにアタックできる)【ドン!!×2】【アタック時】相手は、このバトル中、【ブロッカー】を発動できない。,,新時代の主役【OP-05】
モンキー・D・ルフィ,ST01-012_p4,ST01-012,CHARACTER,SR,5,打,6000,0,赤,1,超新星/麦わらの一味,【速攻】(このカードは登場したターンにアタックできる)【ドン!!×2】【アタック時】相手は、このバトル中、【ブロッカー】を発動できない。,,新時代の主役【OP-05】
ナミ,OP01-016_p4,OP01-016,CHARACTER,SPカード,1,特,2000,1000,赤,1,麦わらの一味,【登場時】自分のデッキの上から5枚を見て、「ナミ」以外の特徴《麦わらの一味》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,新時代の主役【OP-05】
ヤマト,OP01-121_p2,OP01-121,CHARACTER,SPカード,5,打,5000,1000,緑,1,ワノ国,ルール上、このカードはカード名を「光月おでん」としても扱う。【ダブルアタック】(このカードが与えるダメージは2になる)【バニッシュ】(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),,新時代の主役【OP-05】
ウタ,OP02-120_p2,OP02-120,CHARACTER,SPカード,8,特,8000,0,紫,1,FILM,【登場時】ドン!!-2(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：自分のリーダーとキャラすべてを、次の自分のターン開始時まで、パワー+1000。,,新時代の主役【OP-05】
ロブ・ルッチ,OP03-092_p2,OP03-092,CHARACTER,SPカード,6,打,7000,0,黒,1,CP9,【登場時】自分のトラッシュの『CP』を含む特徴を持つカード2枚を好きな順番でデッキの下に置くことができる：このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,新時代の主役【OP-05】
カイドウ,OP04-044_p2,OP04-044,CHARACTER,SPカード,10,打,12000,0,青,1,四皇/百獣海賊団,【登場時】コスト8以下のキャラ1枚までと、コスト3以下のキャラ1枚までを、持ち主の手札に戻す。,,新時代の主役【OP-05】
エネル,OP05-100_p2,OP05-100,CHARACTER,SPカード,7,特,7000,0,黄,2,空島,【速攻】【ターン1回】このキャラが場を離れる場合、代わりに自分のライフの上から1枚をトラッシュに置いてもよい。キャラの「モンキー・D・ルフィ」がいる場合、この効果は無効になる。,,新時代の主役【OP-05】
ウタ,OP06-001_p1,OP06-001,LEADER,L,-,特,5000,0,赤/紫,2,FILM,【アタック時】自分の手札の特徴《FILM》を持つカード1枚を捨てることができる：相手のキャラ1枚までを、このターン中、パワー-2000。その後、ドン !!デッキからドン !!1枚までを、レストで追加する。,,双璧の覇者【OP-06】
シャンクス,OP06-007_p1,OP06-007,CHARACTER,SR,10,斬,12000,0,赤,2,FILM/四皇/赤髪海賊団,【登場時】相手のパワー10000以下のキャラ1枚までを、KOする。,,双璧の覇者【OP-06】
シュライヤ,OP06-009_p1,OP06-009,CHARACTER,SR,3,打,4000,1000,赤,2,FILM/造船の町,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【アタック時】/【ブロック時】【ターン1回】このキャラは、次の自分のターン開始時まで、相手のリーダーと同じパワーになる。,,双璧の覇者【OP-06】
モンキー・D・ルフィ,OP06-013_p1,OP06-013,CHARACTER,R,2,打,3000,1000,赤,2,FILM/麦わらの一味,【登場時】自分のデッキの上から3枚を見て、特徴《FILM》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【登場時】効果を発動する。,双璧の覇者【OP-06】
ホーディ・ジョーンズ,OP06-020_p1,OP06-020,LEADER,L,-,打,5000,0,緑,2,魚人族/新魚人海賊団,【起動メイン】このリーダーをレストにできる：相手の、コスト3以下のキャラかドン !!1枚までを、レストにする。その後、自分は、このターン中、自分の効果でライフを手札に加えられない。,,双璧の覇者【OP-06】
ペローナ,OP06-021_p1,OP06-021,LEADER,L,-,特,5000,0,緑/黒,2,スリラーバーク海賊団,【起動メイン】【ターン1回】以下から1つを選ぶ。・相手のコスト4以下のキャラ1枚までを、レストにする。・相手のキャラ1枚までを、このターン中、コスト-1。,,双璧の覇者【OP-06】
ヤマト,OP06-022_p1,OP06-022,LEADER,L,-,打,5000,0,緑/黄,2,ワノ国,【ダブルアタック】(このカードが与えるダメージは2になる)【起動メイン】【ターン1回】相手のライフが3枚以下の場合、自分のキャラ1枚にレストのドン!!2枚までを、付与する。,,双璧の覇者【OP-06】
ケイミー,OP06-025_p1,OP06-025,CHARACTER,R,1,知,2000,1000,緑,2,人魚族,【登場時】自分のデッキの上から4枚を見て、「ケイミ―」以外の特徴《魚人族》か《人魚族》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,双璧の覇者【OP-06】
ホーディ・ジョーンズ,OP06-035_p1,OP06-035,CHARACTER,SR,7,打,8000,0,緑,2,魚人族/新魚人海賊団,【速攻】(このカードは登場したターンにアタックできる)【登場時】相手の、キャラかドン !!合計2枚までを、レストにする。その後、自分のライフの上から1枚を手札に加える。,,双璧の覇者【OP-06】
ヴィンスモーク・レイジュ,OP06-042_p1,OP06-042,LEADER,L,-,特,5000,0,青/紫,2,ヴィンスモーク家/ジェルマ66,【自分のターン中】【ターン1回】自分の場のドン !!がドン !!デッキに戻された時、カード1枚を引く。,,双璧の覇者【OP-06】
アラマキ,OP06-043_p1,OP06-043,CHARACTER,SR,8,特,8000,0,青,2,海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【起動メイン】【ターン1回】自分の手札1枚を捨て、コスト2以下のキャラ1枚を持ち主のデッキの下に置くことができる：このキャラは、このターン中、パワー＋3000。,,双璧の覇者【OP-06】
たしぎ,OP06-050_p1,OP06-050,CHARACTER,R,1,斬,2000,1000,青,2,海軍,【登場時】自分のデッキの上から5枚を見て、「たしぎ」以外の特徴《海軍》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,双璧の覇者【OP-06】
ヴィンスモーク・イチジ,OP06-061_p1,OP06-061,CHARACTER,R,7,打,7000,0,紫,2,ヴィンスモーク家/ジェルマ66,【登場時】自分の場のドン !!が相手の場のドン !!の枚数以下の場合、相手のキャラ1枚までを、このターン中、パワー-2000し、このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,双璧の覇者【OP-06】
ヴィンスモーク・ジャッジ,OP06-062_p1,OP06-062,CHARACTER,SR,8,斬,8000,0,紫,2,ヴィンスモーク家/ジェルマ66,"【登場時】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),自分の手札2枚を捨てることができる：自分のトラッシュのカード名が異なるパワー4000以下の特徴《ジェルマ66》を持つキャラカード4枚までを、登場させる。【起動メイン】【ターン1回】ドン !!-1：相手のドン !!1枚までを、レストにする。",,双璧の覇者【OP-06】
ヴィンスモーク・レイジュ,OP06-069_p1,OP06-069,CHARACTER,SR,4,特,5000,1000,紫,2,ヴィンスモーク家/ジェルマ66,【登場時】自分の場のドン !!が相手の場のドン !!の枚数以下でかつ、自分の手札が5枚以下の場合、カード2枚を引く。,,双璧の覇者【OP-06】
ゲッコー・モリア,OP06-080_p1,OP06-080,LEADER,L,-,特,5000,0,黒,2,王下七武海/スリラーバーク海賊団,"【ドン !!×1】【アタック時】②(コストエリアのドン !!を指定の数レストにできる),自分の手札1枚を捨てることができる：自分のデッキの上から2枚をトラッシュに置き、自分のトラッシュのコスト4以下の特徴《スリラーバーク海賊団》を持つキャラカード1枚までを、登場させる。",,双璧の覇者【OP-06】
アブサロム,OP06-081_p1,OP06-081,CHARACTER,R,4,射,5000,1000,黒,2,スリラーバーク海賊団,【登場時】自分のトラッシュのカード2枚を好きな順番でデッキの下に戻すことができる：コスト2以下のキャラ1枚までを、KOする。,,双璧の覇者【OP-06】
ゲッコー・モリア,OP06-086_p1,OP06-086,CHARACTER,SR,8,特,9000,0,黒,2,王下七武海/スリラーバーク海賊団,【登場時】自分のトラッシュのコスト4以下のキャラカード1枚までとコスト2以下のキャラカード1枚までを選び、1枚を登場させ、残りをレストで登場させる。,,双璧の覇者【OP-06】
ペローナ,OP06-093_p1,OP06-093,CHARACTER,SR,4,特,5000,2000,黒,2,スリラーバーク海賊団,【登場時】相手の手札が5枚以上ある場合、以下から1つを選ぶ。・相手は自身の手札1枚を捨てる。・相手のキャラ1枚までを、このターン中、コスト-3。,,双璧の覇者【OP-06】
おナミ,OP06-101_p1,OP06-101,CHARACTER,R,2,特,3000,1000,黄,2,麦わらの一味,【登場時】自分のリーダーかキャラ1枚までは、このターン中、【バニッシュ】を得る。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),【トリガー】相手のコスト5以下のキャラ1枚までを、KOする。,双璧の覇者【OP-06】
光月日和,OP06-106_p1,OP06-106,CHARACTER,SR,2,知,-,2000,黄,2,ワノ国/光月家,【登場時】自分のライフの上か下から1枚を手札に加えることができる：自分の手札1枚までを、ライフの上に加える。,,双璧の覇者【OP-06】
光月モモの助,OP06-107_p1,OP06-107,CHARACTER,SR,5,知,6000,0,黄,2,ワノ国/光月家,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の、「光月モモの助」以外の特徴《ワノ国》を持つキャラ1枚までを、持ち主のライフの上か下に表向きで加える。,,双璧の覇者【OP-06】
ロロノア・ゾロ,OP06-118_p1,OP06-118,CHARACTER,SEC,9,斬,9000,0,緑,2,麦わらの一味,【アタック時】【ターン1回】①(コストエリアのドン!!を指定の数レストにできる)：このキャラをアクティブにする。【起動メイン】【ターン1回】②(コストエリアのドン!!を指定の数レストにできる)：このキャラをアクティブにする。,,双璧の覇者【OP-06】
ロロノア・ゾロ,OP06-118_p2,OP06-118,CHARACTER,SEC,9,斬,9000,0,緑,2,麦わらの一味,【アタック時】【ターン1回】①(コストエリアのドン!!を指定の数レストにできる)：このキャラをアクティブにする。【起動メイン】【ターン1回】②(コストエリアのドン!!を指定の数レストにできる)：このキャラをアクティブにする。,,双璧の覇者【OP-06】
サンジ,OP06-119_p1,OP06-119,CHARACTER,SEC,9,打,9000,0,青,2,麦わらの一味,【登場時】自分のデッキの上から1枚を公開し、「サンジ」以外のコスト9以下のキャラ1枚までを、登場させる。その後、残りをデッキの下に置く。,,双璧の覇者【OP-06】
バギー,OP03-008_p1,OP03-008,CHARACTER,SPカード,1,斬,3000,0,赤,1,バギー海賊団,このキャラは属性(斬)を持つカードとのバトルでKOされない。【登場時】自分のデッキの上から5枚を見て、赤のイベント1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,双璧の覇者【OP-06】
シャーロット・リンリン,OP03-114_p2,OP03-114,CHARACTER,SPカード,10,特,12000,0,黄,1,四皇/ビッグ・マム海賊団,【登場時】自分のリーダーが特徴《ビッグ・マム海賊団》を持つ場合、自分のデッキの上から1枚までを、ライフの上に加える。その後、相手のライフの上から1枚までを、トラッシュに置く。,,双璧の覇者【OP-06】
シュガー,OP04-024_p2,OP04-024,CHARACTER,SPカード,2,特,-,1000,緑,1,ドンキホーテ海賊団,【相手のターン中】【ターン1回】相手がキャラを登場させた時、自分のリーダーが特徴《ドンキホーテ海賊団》を持つ場合、相手のキャラ1枚までを、レストにする。その後、このキャラをレストにする。【登場時】相手のコスト4以下のキャラ1枚までを、レストにする。,,双璧の覇者【OP-06】
ミス・オールサンデー,OP04-064_p2,OP04-064,CHARACTER,SPカード,5,知,5000,0,紫,1,B・W,【登場時】ドン !!デッキからドン !!1枚までを、レストで追加する。その後、自分の場にドン !!が6枚以上ある場合、カード1枚を引く。,【トリガー】ドン‼-2(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：このカードを登場させる。,双璧の覇者【OP-06】
ボルサリーノ,OP05-051_p2,OP05-051,CHARACTER,SPカード,7,特,8000,0,青,2,海軍,【登場時】コスト4以下のキャラ1枚までを、持ち主のデッキの下に置く。,,双璧の覇者【OP-06】
レベッカ,OP05-091_p2,OP05-091,CHARACTER,SPカード,4,知,-,1000,黒,2,ドレスローザ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のトラッシュの「レベッカ」以外のコスト3から7の黒のキャラカード1枚までを、手札に加える。その後、自分の手札からコスト3以下の黒のキャラカード1枚までを、レストで登場させる。,,双璧の覇者【OP-06】
モンキー・D・ドラゴン,OP07-001_p1,OP07-001,LEADER,L,-,特,5000,0,赤,2,革命軍,【起動メイン】【ターン1回】自分の付与されているドン‼合計2枚までを、自分のキャラ1枚に付与する。,,500年後の未来【OP-07】
カリーナ,OP07-005_p1,OP07-005,CHARACTER,R,3,知,-,1000,赤,2,FILM/グラン・テゾーロ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,500年後の未来【OP-07】
モンキー・D・ドラゴン,OP07-015_p1,OP07-015,CHARACTER,SR,8,特,9000,0,赤,2,革命軍,【速攻】(このカードは登場したターンにアタックできる)【登場時】自分のリーダーかキャラ1枚にレストのドン‼2枚までを、付与する。,,500年後の未来【OP-07】
ジュエリー・ボニー,OP07-019_p1,OP07-019,LEADER,L,-,特,5000,0,緑,2,超新星/ボニー海賊団,【相手のアタック時】【ターン1回】➀(コストエリアのドン‼を指定の数レストにできる)：相手の、リーダーかキャラ1枚までを、レストにする。,,500年後の未来【OP-07】
お玉,OP07-022_p1,OP07-022,CHARACTER,R,1,特,-,2000,緑,2,ワノ国,【登場時】自分のデッキの上から5枚を見て、「お玉」以外の緑の特徴《ワノ国》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,500年後の未来【OP-07】
ジュエリー・ボニー,OP07-026_p1,OP07-026,CHARACTER,SR,5,特,6000,1000,緑,2,超新星/ボニー海賊団,【登場時】相手の、レストのキャラかドン‼1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,500年後の未来【OP-07】
バジル・ホーキンス,OP07-029_p1,OP07-029,CHARACTER,SR,6,斬,7000,0,緑,2,超新星/ホーキンス海賊団,自分のリーダーが特徴《超新星》を持つ場合、このキャラは【ブロッカー】を得る。(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ターン1回】このキャラが相手の効果で場を離れる場合、代わりに相手のキャラ1枚をレストにできる。,,500年後の未来【OP-07】
ボア・ハンコック,OP07-038_p1,OP07-038,LEADER,L,-,特,5000,0,青,2,王下七武海/九蛇海賊団,【自分のターン中】【ターン1回】キャラが自分の効果で場を離れた時、発動できる。自分の手札が5枚以下の場合、カード1枚を引く。,,500年後の未来【OP-07】
ジンベエ,OP07-045_p1,OP07-045,CHARACTER,SR,4,打,5000,1000,青,2,魚人族/王下七武海/タイヨウの海賊団,【登場時】自分の手札から「ジンベエ」以外のコスト4以下の特徴《王下七武海》を持つキャラカード1枚までを、登場させる。,,500年後の未来【OP-07】
センゴク,OP07-046_p1,OP07-046,CHARACTER,R,1,知,2000,1000,青,2,海軍,【登場時】自分のデッキの上から5枚を見て、特徴《王下七武海》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,500年後の未来【OP-07】
トラファルガー・ロー,OP07-047_p1,OP07-047,CHARACTER,R,4,斬,4000,2000,青,2,王下七武海/ハートの海賊団,【起動メイン】このキャラを持ち主の手札に戻すことができる：相手の手札が6枚以上ある場合、相手は自身の手札1枚をデッキの下に置く。,,500年後の未来【OP-07】
ボア・ハンコック,OP07-051_p1,OP07-051,CHARACTER,SR,6,特,8000,0,青,2,王下七武海/九蛇海賊団,【登場時】相手の「モンキー・D・ルフィ」以外のキャラ1枚までは、次の相手のターン終了時まで、アタックできない。その後、コスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。,,500年後の未来【OP-07】
ボア・ハンコック,OP07-051_p2,OP07-051,CHARACTER,SR,6,特,8000,0,青,2,王下七武海/九蛇海賊団,【登場時】相手の「モンキー・D・ルフィ」以外のキャラ1枚までは、次の相手のターン終了時まで、アタックできない。その後、コスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。,,500年後の未来【OP-07】
フォクシー,OP07-059_p1,OP07-059,LEADER,L,-,特,5000,0,紫,2,フォクシー海賊団,【アタック時】ドン‼-3(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分の特徴《フォクシー海賊団》を持つキャラが3枚以上いる場合、相手のレストの、リーダーとキャラ1枚までを選ぶ。選んだカードは次の相手のリフレッシュフェイズでアクティブにならない。,,500年後の未来【OP-07】
サンジ,OP07-064_p1,OP07-064,CHARACTER,SR,6,打,6000,2000,紫,2,麦わらの一味,手札のこのカードは、自分の場のドン‼の枚数が相手の場のドン‼の枚数より2枚以上少ない場合、コスト-3。【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,500年後の未来【OP-07】
フォクシー,OP07-071_p1,OP07-071,CHARACTER,R,7,特,7000,0,紫,2,フォクシー海賊団,【相手のターン中】自分のリーダーが特徴《フォクシー海賊団》を持つ場合、相手のキャラすべてを、パワー-1000。【起動メイン】【ターン1回】ドン‼デッキからドン‼1枚までを、レストで追加する。,,500年後の未来【OP-07】
ポルチェ,OP07-072_p1,OP07-072,CHARACTER,SR,3,知,5000,0,紫,2,フォクシー海賊団,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分のデッキの上から5枚を見て、特徴《フォクシー海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置き、自分の手札からパワー4000以下の紫のキャラカード1枚までを、登場させる。,,500年後の未来【OP-07】
ロブ・ルッチ,OP07-079_p1,OP07-079,LEADER,L,-,打,5000,0,黒,2,CP0,【アタック時】自分のデッキの上から2枚をトラッシュに置くことができる：相手のキャラ1枚までを、このターン中、コスト-1。,,500年後の未来【OP-07】
ステューシー,OP07-085_p1,OP07-085,CHARACTER,SR,9,特,9000,0,黒,2,CP0,【登場時】自分のキャラ1枚をトラッシュに置くことができる：相手のキャラ1枚までを、KOする。,,500年後の未来【OP-07】
ベガパンク,OP07-097_p1,OP07-097,LEADER,L,-,知,5000,0,黄,2,科学者/エッグヘッド,このリーダーはアタックできない。【起動メイン】【ターン1回】①(コストエリアのドン‼を指定の数レストにできる)：自分の手札からコスト5以下の特徴《エッグヘッド》を持つカード1枚までを、ライフの上に表向きで加えるか登場させる。,,500年後の未来【OP-07】
フランキー,OP07-107_p1,OP07-107,CHARACTER,R,4,打,5000,2000,黄,2,エッグヘッド/麦わらの一味,-,【トリガー】カード1枚を引く。その後、自分のライフが1枚以下の場合、このカードを登場させる。,500年後の未来【OP-07】
モンキー・D・ルフィ,OP07-109_p1,OP07-109,CHARACTER,SR,5,打,6000,1000,黄,2,四皇/エッグヘッド/麦わらの一味,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフが2枚以下の場合、相手のコスト4以下のキャラ1枚までを、KOする。その後、カード1枚を引く。,【トリガー】相手のコスト4以下のキャラ1枚までを、KOする。,500年後の未来【OP-07】
リリス,OP07-111_p1,OP07-111,CHARACTER,SR,3,知,5000,0,黄,2,科学者/エッグヘッド,【登場時】自分のデッキの上から5枚を見て、「リリス」以外の特徴《エッグヘッド》を持つカード1枚までを手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】自分のリーダーが「ベガパンク」の場合、このカードを登場させる。,500年後の未来【OP-07】
サボ,OP07-118_p1,OP07-118,CHARACTER,SEC,8,特,9000,0,黒,2,革命軍,【登場時】自分の手札1枚を捨てることができる：相手の、コスト5以下のキャラ1枚までとコスト3以下のキャラ1枚までを、KOする。,,500年後の未来【OP-07】
ポートガス・D・エース,OP07-119_p1,OP07-119,CHARACTER,SEC,10,特,10000,0,黄,2,白ひげ海賊団,【登場時】自分のデッキの上から1枚までを、ライフの上に加える。その後、自分のライフが2枚以下の場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,500年後の未来【OP-07】
お菊,OP01-035_p2,OP01-035,CHARACTER,SPカード,3,斬,5000,0,緑,1,ワノ国/赤鞘九人男,【ドン‼×1】【アタック時】【ターン1回】相手のコスト5以下のキャラ1枚までを、レストにする。,,500年後の未来【OP-07】
ドンキホーテ・ドフラミンゴ,OP01-073_p2,OP01-073,CHARACTER,SPカード,3,特,4000,1000,青,1,王下七武海/ドンキホーテ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のデッキの上から5枚を見て、好きな順番に並び変え、デッキの上か下に置く。,,500年後の未来【OP-07】
イゾウ,OP03-003_p1,OP03-003,CHARACTER,SPカード,1,射,2000,1000,赤,1,ワノ国/白ひげ海賊団,【登場時】自分のデッキの上から5枚を見て、「イゾウ」以外の『白ひげ海賊団』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,500年後の未来【OP-07】
イッショウ,OP03-078_p2,OP03-078,CHARACTER,SPカード,8,斬,9000,0,黒,1,海軍,【ドン‼×1】【自分のターン中】相手のキャラすべてをコスト-3。【登場時】相手の手札が6枚以上ある場合、相手の手札2枚を捨てる。,,500年後の未来【OP-07】
ユースタス・キッド,OP05-074_p3,OP05-074,CHARACTER,SPカード,5,特,6000,1000,紫,2,キッド海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【自分のターン中】【ターン1回】自分の場のドン‼がドン‼デッキに戻された時、ドン‼デッキからドン‼1枚までを、アクティブで追加する。,,500年後の未来【OP-07】
おナミ,OP06-101_p2,OP06-101,CHARACTER,SPカード,2,特,3000,1000,黄,2,麦わらの一味,【登場時】自分のリーダーかキャラ1枚までは、このターン中、【バニッシュ】を得る。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),【トリガー】相手のコスト5以下のキャラ1枚までを、KOする。,500年後の未来【OP-07】
トニートニー・チョッパー,OP08-001_p1,OP08-001,LEADER,L,-,打,5000,0,赤/緑,2,動物/ドラム王国/麦わらの一味,【起動メイン】【ターン1回】自分の特徴《動物》か《ドラム王国》を持つキャラ3枚までにレストのドン‼1枚ずつまでを、付与する。,,ブースターパック 二つの伝説【OP-08】
マルコ,OP08-002_p1,OP08-002,LEADER,L,-,特,5000,0,赤/青,2,白ひげ海賊団,【ドン‼×1】【起動メイン】【ターン1回】カード1枚を引き、自分の手札1枚をデッキの上か下に置く。その後、相手のキャラ1枚までを、このターン中、パワー-2000。,,ブースターパック 二つの伝説【OP-08】
トニートニー・チョッパー,OP08-007_p1,OP08-007,CHARACTER,SR,3,打,5000,0,赤,2,動物/ドラム王国/麦わらの一味,【自分のターン中】【登場時】/【アタック時】自分のデッキの上から5枚を見て、パワー4000以下の特徴《動物》を持つキャラカード1枚までを、レストで登場させる。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】
Dr.くれは,OP08-015_p1,OP08-015,CHARACTER,R,1,知,2000,1000,赤,2,ドラム王国,【登場時】自分のデッキの上から4枚を見て、「Dr.くれは」以外の、特徴《ドラム王国》を持つカードか「トニートニー・チョッパー」1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】
キャロット,OP08-021_p1,OP08-021,LEADER,L,-,特,5000,0,緑,2,ミンク族,【起動メイン】【ターン1回】自分の特徴《ミンク族》を持つキャラがいる場合、相手のコスト5以下のキャラ1枚までを、レストにする。,,ブースターパック 二つの伝説【OP-08】
キャロット,OP08-023_p1,OP08-023,CHARACTER,SR,5,特,6000,1000,緑,2,ミンク族,【登場時】/【アタック時】相手のレストのコスト7以下のキャラ1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ブースターパック 二つの伝説【OP-08】
