カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
マゼラン,OP02-071,OP02-071,LEADER,L,-,特,5000,0,紫,1,インペルダウン,【自分のターン中】【ターン1回】場のドン‼がドン‼デッキに戻された時、このリーダーは、このターン中、パワー+1000。,,頂上決戦【OP-02】
ゼット,OP02-072,OP02-072,LEADER,L,-,打,5000,0,紫/黒,1,FILM/NEO海軍,【アタック時】ドン‼-4(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト3以下のキャラ1枚までを、KOする。その後、このリーダーは、このターン中、パワー+1000。,,頂上決戦【OP-02】
サディちゃん,OP02-073,OP02-073,CHARACTER,R,3,知,3000,2000,紫,1,インペルダウン,【登場時】自分の手札から特徴《獄卒獣》を持つキャラカード1枚までを、登場させる。,,頂上決戦【OP-02】
サルデス,OP02-074,OP02-074,CHARACTER,C,1,知,2000,1000,紫,1,インペルダウン,自分の「ブルゴリ」は【ブロッカー】を得る。(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,頂上決戦【OP-02】
シキ,OP02-075,OP02-075,CHARACTER,R,2,斬,3000,2000,紫,1,FILM/金獅子海賊団,-,【トリガー】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：このカードを登場させる。,頂上決戦【OP-02】
シリュウ,OP02-076,OP02-076,CHARACTER,R,4,斬,5000,1000,紫,1,インペルダウン,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト1以下のキャラ1枚までを、KOする。,,頂上決戦【OP-02】
ソリティア,OP02-077,OP02-077,CHARACTER,C,3,斬,5000,1000,紫,1,百獣海賊団/SMILE,-,,頂上決戦【OP-02】
ダイフゴー,OP02-078,OP02-078,CHARACTER,UC,3,射,5000,0,紫,1,百獣海賊団/SMILE,【登場時】ドン‼-2(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分の手札から「ダイフゴー」以外のコスト3以下の特徴《SMILE》を持つキャラカード1枚までを、登場させる。,,頂上決戦【OP-02】
ダグラス・バレット,OP02-079,OP02-079,CHARACTER,UC,5,特,6000,1000,紫,1,FILM/海賊万博,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト4以下のキャラ1枚までを、レストにする。,,頂上決戦【OP-02】
ドボン,OP02-080,OP02-080,CHARACTER,C,2,打,4000,1000,紫,1,百獣海賊団/SMILE,-,,頂上決戦【OP-02】
ドミノ,OP02-081,OP02-081,CHARACTER,C,2,知,2000,1000,紫,1,インペルダウン,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,頂上決戦【OP-02】
バーンディ・ワールド,OP02-082,OP02-082,CHARACTER,UC,8,打,8000,0,紫,1,ワールド海賊団,【起動メイン】ドン‼-8(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：このキャラは、このターン中、パワー+792000。,,頂上決戦【OP-02】
ハンニャバル,OP02-083,OP02-083,CHARACTER,R,1,斬,2000,1000,紫,1,インペルダウン,【登場時】自分のデッキの上から5枚を見て、「ハンニャバル」以外の紫の特徴《インペルダウン》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,頂上決戦【OP-02】
ブルゴリ,OP02-084,OP02-084,CHARACTER,C,1,斬,3000,1000,紫,1,動物/インペルダウン,-,,頂上決戦【OP-02】
マゼラン,OP02-085,OP02-085,CHARACTER,SR,5,特,6000,0,紫,1,インペルダウン,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手は自身の場のドン‼1枚をドン‼デッキに戻す。【相手のターン中】このキャラがKOされた時、相手は自身の場のドン‼2枚をドン‼デッキに戻す。,,頂上決戦【OP-02】
ミノコアラ,OP02-086,OP02-086,CHARACTER,UC,4,打,5000,1000,紫,1,インペルダウン/獄卒獣,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】自分のリーダーが特徴《インペルダウン》を持つ場合、ドン‼デッキからドン‼1枚までをレストで追加する。,,頂上決戦【OP-02】
ミノタウロス,OP02-087,OP02-087,CHARACTER,UC,4,打,5000,1000,紫,1,インペルダウン/獄卒獣,【ダブルアタック】(このカードが与えるダメージは2になる)【KO時】自分のリーダーが特徴《インペルダウン》を持つ場合、ドン‼デッキからドン‼1枚までをレストで追加する。,,頂上決戦【OP-02】
SPHINX,OP02-088,OP02-088,CHARACTER,C,4,打,6000,1000,紫,1,動物/インペルダウン,-,,頂上決戦【OP-02】
地獄の審判,OP02-089,OP02-089,EVENT,R,2,,-,0,紫,1,インペルダウン,【カウンター】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のリーダーかキャラ合計2枚までを、このターン中、パワー-3000。,【トリガー】相手の場にドン‼が6枚以上ある場合、相手は自身の場のドン‼1枚をドン‼デッキに戻す。,頂上決戦【OP-02】
毒竜,OP02-090,OP02-090,EVENT,UC,1,,-,0,紫,1,インペルダウン,【メイン】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のキャラ1枚までを、このターン中、パワー-3000。,【トリガー】相手の場にドン‼が6枚以上ある場合、相手は自身の場のドン‼1枚をドン‼デッキに戻す。,頂上決戦【OP-02】
毒の道,OP02-091,OP02-091,EVENT,C,3,,-,0,紫,1,インペルダウン,【メイン】ドン‼デッキからドン‼1枚までをアクティブで追加する。,【トリガー】相手の場にドン‼が6枚以上ある場合、相手は自身の場のドン‼1枚をドン‼デッキに戻す。,頂上決戦【OP-02】
インペルダウン,OP02-092,OP02-092,STAGE,C,1,,-,0,紫,1,インペルダウン,【起動メイン】自分の手札1枚を捨て、このステージをレストにできる：自分のデッキの上から3枚を見て、特徴《インペルダウン》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,頂上決戦【OP-02】
スモーカー,OP02-093,OP02-093,LEADER,L,-,特,5000,0,黒,1,海軍,【ドン‼×1】【起動メイン】【ターン1回】相手のキャラ1枚までを、このターン中、コスト-1。その後、コスト0のキャラがいる場合、このリーダーは、このターン中、パワー+1000。,,頂上決戦【OP-02】
イスカ,OP02-094,OP02-094,CHARACTER,UC,3,斬,4000,1000,黒,1,海軍,【ドン‼×1】【ターン1回】このキャラのバトルによって相手のキャラをKOした時、このキャラをアクティブにする。,,頂上決戦【OP-02】
オニグモ,OP02-095,OP02-095,CHARACTER,UC,5,斬,6000,1000,黒,1,海軍,コスト0のキャラがいる場合、このキャラは【バニッシュ】を得る。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),,頂上決戦【OP-02】
クザン,OP02-096,OP02-096,CHARACTER,SR,4,特,5000,0,黒,1,海軍,【登場時】カード1枚を引く。【アタック時】相手のキャラ1枚までを、このターン中、コスト-4。,,頂上決戦【OP-02】
コーミル,OP02-097,OP02-097,CHARACTER,C,1,斬,3000,1000,黒,1,海軍,-,,頂上決戦【OP-02】
コビー,OP02-098,OP02-098,CHARACTER,R,3,打,4000,1000,黒,1,海軍,【登場時】自分の手札1枚を捨てることができる：相手のコスト3以下のキャラ1枚までを、KOする。,,頂上決戦【OP-02】
サカズキ,OP02-099,OP02-099,CHARACTER,SR,6,特,7000,0,黒,1,海軍,【登場時】自分の手札1枚を捨てることができる：相手のコスト5以下のキャラ1枚までを、KOする。,,頂上決戦【OP-02】
ジャンゴ,OP02-100,OP02-100,CHARACTER,C,2,斬,3000,1000,黒,1,海軍,自分の「フルボディ」がいる場合、このキャラはバトルでKOされない。,,頂上決戦【OP-02】
ストロベリー,OP02-101,OP02-101,CHARACTER,C,4,斬,5000,0,黒,1,海軍,【アタック時】コスト0のキャラがいる場合、相手は、このバトル中、コスト5以下のキャラの【ブロッカー】を発動できない。,,頂上決戦【OP-02】
スモーカー,OP02-102,OP02-102,CHARACTER,R,3,特,4000,1000,黒,1,海軍,このキャラは効果でKOされない。【アタック時】コスト0のキャラがいる場合、このキャラは、このバトル中、パワー+2000。,,頂上決戦【OP-02】
センゴク,OP02-103,OP02-103,CHARACTER,R,2,知,3000,2000,黒,1,海軍,【ドン‼×1】【アタック時】相手のキャラ1枚までを、このターン中、コスト-2。,,頂上決戦【OP-02】
戦桃丸,OP02-104,OP02-104,CHARACTER,C,2,斬,3000,1000,黒,1,海軍,-,【トリガー】このカードを登場させる。,頂上決戦【OP-02】
たしぎ,OP02-105,OP02-105,CHARACTER,C,3,斬,5000,0,黒,1,海軍,【ドン‼×1】【アタック時】相手のキャラ1枚までを、このターン中、コスト-3。,,頂上決戦【OP-02】
つる,OP02-106,OP02-106,CHARACTER,UC,1,知,-,2000,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-2。,,頂上決戦【OP-02】
ドーベルマン,OP02-107,OP02-107,CHARACTER,C,2,打,4000,1000,黒,1,海軍,-,,頂上決戦【OP-02】
ドンキホーテ・ロシナンテ,OP02-108,OP02-108,CHARACTER,C,2,特,2000,1000,黒,1,海軍/ドンキホーテ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,頂上決戦【OP-02】
ハグワール・D・サウロ,OP02-109,OP02-109,CHARACTER,C,4,打,6000,1000,黒,1,巨人族/海軍,-,,頂上決戦【OP-02】
ヒナ,OP02-110,OP02-110,CHARACTER,R,5,特,6000,1000,黒,1,海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ブロック時】相手のコスト6以下のキャラ1枚までを選ぶ。選んだキャラは、このターン中、アタックできない。,,頂上決戦【OP-02】
フルボディ,OP02-111,OP02-111,CHARACTER,C,2,打,3000,1000,黒,1,海軍,【アタック時】自分の「ジャンゴ」がいる場合、このバトル中、このカードのパワー+3000。,,頂上決戦【OP-02】
ベルメール,OP02-112,OP02-112,CHARACTER,UC,1,射,1000,1000,黒,1,海軍,【起動メイン】このキャラをレストにできる：相手のキャラ1枚までを、このターン中、コスト-1。その後、自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,,頂上決戦【OP-02】
ヘルメッポ,OP02-113,OP02-113,CHARACTER,UC,3,斬,3000,1000,黒,1,海軍,【アタック時】相手のキャラ1枚までを、このターン中、コスト-2。その後、コスト0のキャラがいる場合、このキャラは、このバトル中、パワー+2000。,【トリガー】このカードを登場させる。,頂上決戦【OP-02】
ボルサリーノ,OP02-114,OP02-114,CHARACTER,SR,4,特,5000,1000,黒,1,海軍,【相手のターン中】このキャラは効果でKOされず、パワー+1000。【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,頂上決戦【OP-02】
モンキー・D・ガープ,OP02-115,OP02-115,CHARACTER,R,2,打,3000,2000,黒,1,海軍,【ドン‼×2】【アタック時】相手のコスト0のキャラ1枚までを、KOする。,,頂上決戦【OP-02】
ヤマカジ,OP02-116,OP02-116,CHARACTER,C,3,斬,5000,1000,黒,1,海軍,-,,頂上決戦【OP-02】
氷河時代,OP02-117,OP02-117,EVENT,UC,1,,-,0,黒,1,海軍,【メイン】相手のキャラ1枚までを、このターン中、コスト-5。,【トリガー】相手のコスト3以下のキャラ1枚までを、KOする。,頂上決戦【OP-02】
八尺瓊勾玉,OP02-118,OP02-118,EVENT,C,1,,-,0,黒,1,海軍,【カウンター】自分の手札1枚を捨てることができる：自分のキャラ1枚までを選ぶ。選んだキャラは、このバトル中、KOされない。,【トリガー】相手のコスト3以下のステージ1枚までを、KOする。,頂上決戦【OP-02】
流星火山,OP02-119,OP02-119,EVENT,R,2,,-,0,黒,1,海軍,【メイン】相手のコスト1以下のキャラ1枚までを、KOする。,【トリガー】カード2枚を引き、自分の手札1枚を捨てる。,頂上決戦【OP-02】
ウタ,OP02-120,OP02-120,CHARACTER,SEC,8,特,8000,0,紫,1,FILM,【登場時】ドン‼-2(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分のリーダーとキャラすべてを、次の自分のターン開始時まで、パワー+1000。,,頂上決戦【OP-02】
クザン,OP02-121,OP02-121,CHARACTER,SEC,10,特,10000,0,黒,1,元海軍,【自分のターン中】相手のキャラすべてをコスト-5。【登場時】相手のコスト0のキャラ1枚までを、KOする。,,頂上決戦【OP-02】
ポートガス・D・エース,OP03-001,OP03-001,LEADER,L,-,特,5000,0,赤,1,白ひげ海賊団,このリーダーがアタックした時かアタックされた時、自分の手札から任意の枚数イベントかステージカードを捨ててもよい。捨てたカード1枚につき、このリーダーは、このバトル中、パワー+1000。,,強大な敵【OP-03】
アディオ,OP03-002,OP03-002,CHARACTER,UC,4,射,5000,1000,赤,1,ODYSSEY,【ドン!!×1】【アタック時】相手は、このバトル中、パワー2000以下のキャラの【ブロッカー】を発動できない。,,強大な敵【OP-03】
イゾウ,OP03-003,OP03-003,CHARACTER,R,1,射,2000,1000,赤,1,ワノ国/白ひげ海賊団,【登場時】自分のデッキの上から5枚を見て、「イゾウ」以外の『白ひげ海賊団』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,強大な敵【OP-03】
クリエル,OP03-004,OP03-004,CHARACTER,C,3,射,4000,1000,赤,1,白ひげ海賊団,このキャラは、登場したターン中、リーダーにアタックできない。【ドン!!×1】このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,強大な敵【OP-03】
サッチ,OP03-005,OP03-005,CHARACTER,UC,1,斬,2000,1000,赤,1,白ひげ海賊団,【起動メイン】【ターン1回】このキャラは、このターン中、パワー+2000。その後、このターン終了時、このキャラをトラッシュに置く。,,強大な敵【OP-03】
スピード・ジル,OP03-006,OP03-006,CHARACTER,C,4,斬,6000,1000,赤,1,白ひげ海賊団,-,,強大な敵【OP-03】
ナミュール,OP03-007,OP03-007,CHARACTER,C,3,打,5000,1000,赤,1,魚人族/白ひげ海賊団,-,,強大な敵【OP-03】
バギー,OP03-008,OP03-008,CHARACTER,UC,1,斬,3000,0,赤,1,バギー海賊団,このキャラは属性(斬)を持つカードとのバトルでKOされない。【登場時】自分のデッキの上から5枚を見て、赤のイベント1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,強大な敵【OP-03】
ハルタ,OP03-009,OP03-009,CHARACTER,C,2,斬,3000,1000,赤,1,白ひげ海賊団,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,強大な敵【OP-03】
フォッサ,OP03-010,OP03-010,CHARACTER,C,2,斬,2000,1000,赤,1,白ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,強大な敵【OP-03】
ブラメンコ,OP03-011,OP03-011,CHARACTER,UC,2,打,3000,1000,赤,1,白ひげ海賊団,【ドン!!×1】【アタック時】相手のキャラ1枚までを、このターン中、パワー-2000。,,強大な敵【OP-03】
マーシャル・D・ティーチ,OP03-012,OP03-012,CHARACTER,R,4,打,6000,0,赤,1,白ひげ海賊団,【アタック時】自分のパワー4000以上の赤のキャラ1枚をトラッシュに置くことができる：カード1枚を引く。その後、このキャラは、このバトル中、パワー+1000。,,強大な敵【OP-03】
マルコ,OP03-013,OP03-013,CHARACTER,SR,5,特,6000,1000,赤,1,白ひげ海賊団,【自分のターン中】【登場時】相手のパワー3000以下のキャラ1枚までを、KOする。【KO時】自分の手札からイベント1枚を捨てることができる：このキャラカードをトラッシュからレストで登場させる。,,強大な敵【OP-03】
モンキー・D・ガープ,OP03-014,OP03-014,CHARACTER,UC,3,打,5000,0,赤,1,海軍,【アタック時】自分の手札からコスト1の赤のキャラカード1枚までを、登場させる。,,強大な敵【OP-03】
リム,OP03-015,OP03-015,CHARACTER,UC,3,知,2000,0,赤,1,ODYSSEY,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のターン中】このキャラがKOされた時、相手のリーダーかキャラ1枚までを、このターン中、パワー-2000。,,強大な敵【OP-03】
炎帝,OP03-016,OP03-016,EVENT,R,7,,-,0,赤,1,白ひげ海賊団,【メイン】自分のリーダーが「ポートガス・D・エース」の場合、相手のパワー8000以下のキャラ1枚までを、KOし、自分のリーダーは、このターン中、【ダブルアタック】を得て、パワー+3000。(このカードが与えるダメージは2になる),【トリガー】相手のパワー6000以下のキャラ1枚までを、KOする。,強大な敵【OP-03】
十字火,OP03-017,OP03-017,EVENT,UC,2,,-,0,赤,1,白ひげ海賊団,【メイン】/【カウンター】自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、相手のキャラ1枚までを、このターン中、パワー-4000。,【トリガー】このカードの【メイン】効果を発動する。,強大な敵【OP-03】
火拳,OP03-018,OP03-018,EVENT,R,3,,-,0,赤,1,白ひげ海賊団,【メイン】自分の手札からイベント1枚を捨てることができる：相手の、パワー5000以下のキャラ1枚までとパワー4000以下のキャラ1枚までを、KOする。,【トリガー】相手のパワー5000以下のキャラ1枚までを、KOする。,強大な敵【OP-03】
火達磨,OP03-019,OP03-019,EVENT,C,2,,-,0,赤,1,白ひげ海賊団,【メイン】自分のリーダーは、このターン中、パワー+4000。,【トリガー】相手のリーダーかキャラ1枚までを、このターン中、パワー-10000。,強大な敵【OP-03】
ストライカー,OP03-020,OP03-020,STAGE,C,1,,-,0,赤,1,白ひげ海賊団,"【起動メイン】②(コストエリアのドン!!を指定の数レストにできる),このステージをレストにできる：自分のリーダーが「ポートガス・D・エース」の場合、自分のデッキの上から5枚を見て、イベント1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。",,強大な敵【OP-03】
クロ,OP03-021,OP03-021,LEADER,L,-,斬,5000,0,緑,1,東の海/クロネコ海賊団,"【起動メイン】③(コストエリアのドン!!を指定の数レストにできる),自分の特徴《東の海》を持つキャラ2枚をレストにできる　：このリーダーをアクティブにし、相手のコスト5以下のキャラ1枚までを、レストにする。",,強大な敵【OP-03】
アーロン,OP03-022,OP03-022,LEADER,L,-,斬,5000,0,緑/黄,1,魚人族/東の海/アーロン一味,【ドン!!×2】【アタック時】①(コストエリアのドン!!を指定の数レストにできる)：自分の手札からコスト4以下の【トリガー】を持つキャラカード1枚までを、登場させる。,,強大な敵【OP-03】
アルビダ,OP03-023,OP03-023,CHARACTER,C,1,打,3000,1000,緑,1,東の海/アルビダ海賊団,-,,強大な敵【OP-03】
ギン,OP03-024,OP03-024,CHARACTER,R,4,打,5000,1000,緑,1,東の海/クリーク海賊団,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のコスト4以下のキャラ2枚までを、レストにする。,,強大な敵【OP-03】
クリーク,OP03-025,OP03-025,CHARACTER,SR,6,射,7000,0,緑,1,東の海/クリーク海賊団,【登場時】自分の手札1枚を捨てることができる：相手のレストのコスト4以下のキャラ2枚までを、KOする。【ドン!!×1】このキャラは【ダブルアタック】を得る。(このカードが与えるダメージは2になる),,強大な敵【OP-03】
クロオビ,OP03-026,OP03-026,CHARACTER,UC,4,打,3000,1000,緑,1,魚人族/東の海/アーロン一味,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のキャラ1枚までを、レストにする。,【トリガー】このカードを登場させる。,強大な敵【OP-03】
シャム,OP03-027,OP03-027,CHARACTER,C,3,斬,4000,1000,緑,1,東の海/クロネコ海賊団,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のコスト2以下のキャラ1枚までを、レストにし、自分の「ブチ」がいない場合、自分の手札から「ブチ」1枚までを、登場させる。,,強大な敵【OP-03】
ジャンゴ,OP03-028,OP03-028,CHARACTER,R,5,特,6000,0,緑,1,東の海/クロネコ海賊団,【登場時】以下から1つを選ぶ。・自分の特徴《東の海》を持つ、リーダーかコスト6以下のキャラ1枚までを、アクティブにする。・このキャラと相手のキャラ1枚までを、レストにする。,,強大な敵【OP-03】
チュウ,OP03-029,OP03-029,CHARACTER,UC,4,射,3000,1000,緑,1,魚人族/東の海/アーロン一味,【登場時】相手のレストのコスト4以下のキャラ1枚までを、KOする。,【トリガー】このカードを登場させる。,強大な敵【OP-03】
ナミ,OP03-030,OP03-030,CHARACTER,R,2,知,2000,1000,緑,1,東の海/アーロン一味,【登場時】自分のデッキの上から5枚を見て、「ナミ」以外の緑の特徴《東の海》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードを登場させる。,強大な敵【OP-03】
パール,OP03-031,OP03-031,CHARACTER,C,2,打,2000,1000,緑,1,東の海/クリーク海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,強大な敵【OP-03】
バギー,OP03-032,OP03-032,CHARACTER,C,3,斬,5000,0,緑,1,東の海/バギー海賊団,このキャラは、属性(斬)を持つカードとのバトルでKOされない。,,強大な敵【OP-03】
はっちゃん,OP03-033,OP03-033,CHARACTER,UC,4,斬,4000,2000,緑,1,魚人族/東の海/アーロン一味,-,【トリガー】自分のリーダーが特徴《東の海》を持つ場合、このカードを登場させる。,強大な敵【OP-03】
ブチ,OP03-034,OP03-034,CHARACTER,UC,4,斬,5000,1000,緑,1,東の海/クロネコ海賊団,【登場時】相手のレストのコスト2以下のキャラ1枚までを、KOする。,,強大な敵【OP-03】
モーム,OP03-035,OP03-035,CHARACTER,C,2,打,4000,1000,緑,1,動物/東の海,-,,強大な敵【OP-03】
杓死,OP03-036,OP03-036,EVENT,C,3,,-,0,緑,1,東の海/クロネコ海賊団,【メイン】自分の特徴《東の海》を持つキャラ1枚をレストにできる：自分の「クロ」1枚までを、アクティブにする。,【トリガー】相手のレストのコスト3以下のキャラ1枚までを、KOする。,強大な敵【OP-03】
歯ガム,OP03-037,OP03-037,EVENT,C,1,,-,0,緑,1,魚人族/東の海/アーロン一味,【メイン】自分の特徴《東の海》を持つキャラ1枚をレストにできる：相手のレストのコスト3以下のキャラ1枚までを、KOする。,【トリガー】自分の手札からコスト4以下の【トリガー】を持つキャラカード1枚までを、登場させる。,強大な敵【OP-03】
猛毒ガス弾『M・H・５』,OP03-038,OP03-038,EVENT,R,1,,-,0,緑,1,東の海/クリーク海賊団,【メイン】相手のコスト2以下のキャラ2枚までを、レストにする,【トリガー】相手のコスト5以下のキャラ1枚までを、レストにする。,強大な敵【OP-03】
ワン・ツー・ジャンゴ,OP03-039,OP03-039,EVENT,UC,1,,-,0,緑,1,東の海/クロネコ海賊団,【メイン】相手のコスト1以下のキャラ1枚までを、レストにする。その後、自分のキャラ1枚までを、このターン中、パワー+1000。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,強大な敵【OP-03】
ナミ,OP03-040,OP03-040,LEADER,L,-,知,5000,0,青,1,東の海,ルール上、自分のデッキが0枚になった場合、自分は敗北する代わりに勝利する。【ドン!!×1】このリーダーのアタックによって、相手のライフにダメージを与えた時、自分のデッキの上から1枚をトラッシュに置いてもよい。,,強大な敵【OP-03】
ウソップ,OP03-041,OP03-041,CHARACTER,SR,4,射,5000,0,青,1,東の海,【速攻】(このカードは登場したターンにアタックできる)【ドン!!×1】このキャラのアタックによって、相手のライフにダメージを与えた時、自分のデッキの上から7枚をトラッシュに置いてもよい。,,強大な敵【OP-03】
ウソップ海賊団,OP03-042,OP03-042,CHARACTER,C,1,知,-,1000,青,1,東の海,【登場時】自分のトラッシュの青の「ウソップ」1枚までを、手札に加える。,,強大な敵【OP-03】
ガイモン,OP03-043,OP03-043,CHARACTER,C,2,知,-,1000,青,1,東の海,相手のライフにダメージを与えた時、自分のデッキの上から3枚をトラッシュに置いてもよい。そうした場合、このキャラをトラッシュに置く。,,強大な敵【OP-03】
カヤ,OP03-044,OP03-044,CHARACTER,R,1,知,-,2000,青,1,東の海,【登場時】カード2枚を引き、自分の手札2枚を捨てる。,,強大な敵【OP-03】
カルネ,OP03-045,OP03-045,CHARACTER,UC,3,斬,3000,1000,青,1,東の海,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のターン中】自分のデッキが20枚以下の場合、このキャラはパワー+3000。,,強大な敵【OP-03】
ゲンゾウ,OP03-046,OP03-046,CHARACTER,C,2,知,4000,1000,青,1,東の海,-,,強大な敵【OP-03】
ゼフ,OP03-047,OP03-047,CHARACTER,R,5,打,6000,1000,青,1,東の海,【ドン!!×1】このキャラのアタックによって、相手のライフにダメージを与えた時、自分のデッキの上から7枚をトラッシュに置いてもよい。【登場時】コスト3以下のキャラ1枚までを、持ち主の手札に戻し、自分のデッキの上から2枚をトラッシュに置いてもよい。,,強大な敵【OP-03】
ノジコ,OP03-048,OP03-048,CHARACTER,UC,2,知,-,1000,青,1,東の海,【登場時】自分のリーダーが「ナミ」の場合、相手のコスト5以下のキャラ1枚までを、持ち主の手札に戻す。,,強大な敵【OP-03】
パティ,OP03-049,OP03-049,CHARACTER,UC,3,斬,5000,0,青,1,東の海,【登場時】自分のデッキが20枚以下の場合、コスト3以下のキャラ1枚までを、持ち主の手札に戻す。,,強大な敵【OP-03】
ブードル,OP03-050,OP03-050,CHARACTER,UC,2,知,-,1000,青,1,東の海,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】自分のデッキの上から1枚をトラッシュに置いてもよい。,,強大な敵【OP-03】
ベルメール,OP03-051,OP03-051,CHARACTER,R,4,射,5000,1000,青,1,東の海/元海軍,【ドン!!×1】このキャラのアタックによって、相手のライフにダメージを与えた時、自分のデッキの上から7枚をトラッシュに置いてもよい。【KO時】自分のデッキの上から3枚をトラッシュに置いてもよい。,,強大な敵【OP-03】
メリー,OP03-052,OP03-052,CHARACTER,C,1,知,3000,1000,青,1,東の海,-,,強大な敵【OP-03】
ヨサク&ジョニー,OP03-053,OP03-053,CHARACTER,C,1,斬,3000,0,青,1,東の海,【ドン!!×1】自分のデッキが20枚以下の場合、このキャラはパワー+2000。,,強大な敵【OP-03】
ウソーーップ輪ごーむっ!!!,OP03-054,OP03-054,EVENT,C,1,,-,0,青,1,東の海/麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のデッキの上から1枚をトラッシュに置いてもよい。,【トリガー】カード1枚を引き、自分のデッキの上から1枚をトラッシュに置いてもよい。,強大な敵【OP-03】
ゴムゴムの大槌,OP03-055,OP03-055,EVENT,C,1,,-,0,青,1,東の海/麦わらの一味,【カウンター】自分の手札1枚を捨てることができる：自分のリーダー1枚までを、このバトル中、パワー+4000。その後、自分のデッキの上から2枚をトラッシュに置いてもよい。,【トリガー】コスト4以下のキャラ1枚までを、持ち主の手札に戻す。,強大な敵【OP-03】
サンジのピラフ,OP03-056,OP03-056,EVENT,UC,3,,-,0,青,1,東の海,【メイン】カード2枚を引く。,【トリガー】このカードの【メイン】効果を発動する。,強大な敵【OP-03】
三・千・世・界,OP03-057,OP03-057,EVENT,R,4,,-,0,青,1,東の海/麦わらの一味,【メイン】コスト5以下のキャラ1枚までを、持ち主のデッキの下に置く。,【トリガー】コスト3以下のキャラ1枚までを、持ち主のデッキの下に置く。,強大な敵【OP-03】
アイスバーグ,OP03-058,OP03-058,LEADER,L,-,知,5000,0,紫,1,W7/GC,このリーダーはアタックできない。【起動メイン】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)，このリーダーをレストにできる：自分の手札からコスト5以下の特徴《GC》を持つキャラカード1枚までを、登場させる。,,強大な敵【OP-03】
カク,OP03-059,OP03-059,CHARACTER,UC,5,斬,6000,1000,紫,1,W7/GC,【アタック時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：このキャラは、このバトル中、【バニッシュ】を得る。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),,強大な敵【OP-03】
